City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed
Carnarvon,-24.87,113.63,73.4,69,40,16.11
Ushuaia,-54.8,-68.3,57.2,47,40,20.8
Narsaq,60.92,-46.05,28.4,74,100,3.36
Borogontsy,62.67,131.17,-10.08,89,97,4.99
Busselton,-33.65,115.33,66.0,83,97,1.01
Kaitangata,-46.28,169.85,55.0,44,0,8.01
Bonthe,7.53,-12.51,79.34,86,99,4.83
Port Alfred,-33.59,26.89,66.0,81,0,10.25
Jamestown,42.1,-79.24,60.8,41,1,5.82
Hilo,19.73,-155.09,72.73,88,90,4.7
Timrå,62.49,17.33,33.37,100,0,2.24
Tasiilaq,65.61,-37.64,26.6,63,91,2.24
Mölln,53.63,10.68,38.32,64,0,3.09
Angoche,-16.23,39.91,75.96,84,100,10.67
Tura,25.52,90.22,64.62,86,0,3.58
Port Hedland,-20.32,118.57,89.6,35,0,10.29
Chokurdakh,70.63,147.92,2.05,95,100,4.43
Cockburn Town,21.46,-71.14,79.38,81,100,22.41
Lüderitz,-26.65,15.16,60.85,87,0,3.51
Tezu,27.92,96.17,66.78,45,0,3.62
Saint Anthony,45.02,-93.22,66.85,60,75,12.75
Tual,-5.67,132.75,82.72,71,100,13.4
Chui,-33.7,-53.46,59.41,94,0,5.82
Kavieng,-2.57,150.8,85.78,64,34,6.2
Monrovia,6.3,-10.8,77.0,94,75,5.57
Asău,46.43,26.4,42.01,89,0,3.98
Port Macquarie,-31.43,152.92,67.46,56,51,1.99
Hobart,-42.88,147.33,62.04,47,20,5.82
Mar del Plata,-38.0,-57.56,61.21,93,0,5.82
Bengkulu,-3.8,102.27,80.91,74,99,1.88
Rock Sound,24.9,-76.2,79.99,77,100,31.54
Kohlu,29.9,69.25,48.83,48,0,1.86
Castro,-24.79,-50.01,60.71,59,0,5.77
Thompson,55.74,-97.86,15.8,92,90,5.82
Yellowknife,62.46,-114.35,5.68,84,40,3.36
Vaini,-21.2,-175.2,82.4,69,20,5.82
Auki,-8.77,160.7,87.66,62,19,4.16
Saldanha,-33.01,17.94,60.8,87,68,9.17
Casablanca,33.59,-7.62,59.72,100,0,2.24
Atuona,-9.8,-139.03,77.47,79,16,13.4
Puerto Ayora,-0.74,-90.35,69.01,79,4,5.01
San Policarpo,12.18,125.51,82.4,74,100,7.09
Sola,-13.88,167.55,86.0,84,75,5.82
Lorengau,-2.02,147.27,84.81,62,100,6.91
Kasongo-Lunda,-6.47,16.82,70.92,93,100,1.79
Dingle,11.0,122.67,80.51,79,12,1.72
Lebu,-37.62,-73.65,53.31,79,0,21.97
Ponta do Sol,32.67,-17.1,61.61,72,20,2.24
Kuusamo,65.97,29.18,32.0,90,0,16.11
Mangai,-4.05,19.53,68.43,98,100,2.08
Hermanus,-34.42,19.23,57.0,85,91,8.01
Mahébourg,-20.41,57.7,73.4,83,75,10.29
Isangel,-19.55,169.27,84.2,79,75,5.82
Gaildorf,49.0,9.77,38.75,100,0,4.7
Hithadhoo,-0.6,73.08,83.77,71,11,7.87
Geraldton,-28.77,114.6,71.6,68,90,11.41
Baruun-Urt,46.68,113.28,19.67,77,0,9.73
Olafsvik,64.89,-23.71,39.87,72,4,25.43
Cape Town,-33.93,18.42,57.43,93,75,13.87
Fortuna,40.6,-124.16,51.03,71,20,14.99
Inhambane,-23.86,35.38,77.41,84,0,11.45
Rikitea,-23.12,-134.97,71.69,73,100,16.24
Karratha,-20.74,116.85,86.95,32,0,6.62
